epoch,Training Loss,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1-score (macro)
0,0.43677193256779023,0.2551889606335196,0.915102512272596,0.9039432946550379,0.913397101006962,0.9069018740138814
1,0.18761205817755597,0.2090033135861845,0.935604966791799,0.9252248958415545,0.9289619320105533,0.9269196065904625
2,0.12056800859010247,0.21493842507699668,0.935604966791799,0.9304816919096417,0.9282143802570545,0.929035719049598
3,0.10549770432414689,0.19638027666213875,0.9361825007219174,0.9303596908356565,0.9264629391485941,0.9277473249066067
4,0.08362747371781781,0.27831341364863005,0.9283857926653191,0.9325344812687799,0.9087744370873654,0.9186544539658102
5,0.07325137037499947,0.24116118865147715,0.9364712676869766,0.9282468654908878,0.9282845594551958,0.9281005632409352
6,0.06018566366018379,0.23005395008396992,0.938492636442391,0.9323717170803624,0.9280338679228778,0.9297176864301233
7,0.03203582734850345,0.2035224449559016,0.947444412359226,0.9405976123704948,0.9397408612046192,0.940087444146113
8,0.02198367977114803,0.19426898493470135,0.9511983829049957,0.9461492501925728,0.9432215548620222,0.9445565358265291
9,0.0163628513146166,0.19577907576882345,0.9529309846953509,0.948925922883139,0.9447002409659441,0.9467269010503621
