epoch,Training Loss,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1-score (macro)
0,0.4449678039130933,0.24694585573563377,0.9173887926054304,0.9062030082357692,0.9139215494719173,0.9092787925657732
1,0.1885937904083013,0.21372583065576817,0.9364529173887927,0.9328248206666092,0.925244868250413,0.9284416781113828
2,0.13289626354811923,0.22443320313769002,0.9338532640092432,0.9268603614817206,0.9266736833643284,0.9262773670004919
3,0.09515572965626903,0.21121205329414336,0.9373194685153091,0.92978971402634,0.9341799085300374,0.9316552697019261
4,0.08590074395438264,0.22294555635358881,0.9410745233968805,0.9353116207979765,0.9339056851615773,0.9343626278454458
5,0.07172865700191769,0.22911179690591751,0.940785673021375,0.9365611303366927,0.928922647764305,0.9324476022913866
6,0.05908152371576146,0.19948427581704706,0.9471403812824957,0.9402004705445172,0.941356016592468,0.9404406494421037
7,0.05850817435410295,0.2348367298528346,0.9451184286539572,0.9361891569701329,0.9415970440660267,0.9387108252520788
8,0.0486153024754231,0.23630778546432196,0.9454072790294628,0.9377294271743072,0.9379084350606803,0.9377437854191124
9,0.05351734792009237,0.22669080414804996,0.9471403812824957,0.9393789209093258,0.9399922704820131,0.9396288389143796
