epoch,Training Loss,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1-score (macro)
0,0.43857667063455386,0.21675711974484443,0.9324090121317158,0.9257459860761053,0.9212445884205068,0.9232025481560653
1,0.1903344802558422,0.2014460439626385,0.9326978625072213,0.9194289090312205,0.932892844740762,0.9247535564081742
2,0.13085128760124465,0.21315694868152593,0.9303870595031773,0.9224238749491777,0.9235502834043309,0.9222048562509334
3,0.10192235934335145,0.1907556921056974,0.9448295782784517,0.9378219450346738,0.937089257922734,0.9371630702698298
4,0.07866032716041693,0.19318867894855205,0.9445407279029463,0.9377397328716278,0.9385548279271954,0.9380998878097275
5,0.06840703614899248,0.2779537410162012,0.9191218948584633,0.9095183185044117,0.9246250510106943,0.9150337585723723
6,0.060425945529692715,0.2184330095893227,0.9425187752744079,0.9369612900853944,0.9362741426664031,0.9365504426492527
7,0.06229294038551922,0.19085181298481155,0.9511842865395725,0.9438800980899126,0.9461487430549214,0.9446107396346051
8,0.05349286652318531,0.21513791976299154,0.9471403812824957,0.9427958009610896,0.938683548886971,0.9405685593888998
9,0.049919062773707834,0.21413236452172155,0.949740034662045,0.9445943742686892,0.9431404246750803,0.9436076963958492
