epoch,Training Loss,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1-score (macro)
0,0.43748775384373806,0.23808270253344066,0.9225880993645291,0.9165302292694738,0.9122567874474642,0.9139784148751131
1,0.19716617920141297,0.21584359940982634,0.9303870595031773,0.919169013380677,0.9226541974021057,0.9199993863087415
2,0.12754668169773203,0.20261487893519864,0.9410745233968805,0.9326788021206985,0.933826366974824,0.9330202577342294
3,0.09624073609675327,0.20993350037643987,0.9399191218948585,0.9301347823691816,0.9343626563111558,0.9319707443425161
4,0.08420647521595756,0.20946069844582113,0.9428076256499134,0.9366468413715906,0.9334080497376449,0.9348706215312749
5,0.07028472046722715,0.28759929532622963,0.9321201617562103,0.9224526071384148,0.9299906850502525,0.9251012796250938
6,0.06306469814709924,0.25372565307650147,0.9422299248989023,0.9329657798237955,0.9360752742734774,0.9343562597039036
7,0.06160893631070921,0.2123059351254718,0.9462738301559792,0.9384196552895263,0.9403040734324827,0.9392242412725146
8,0.060610233550121274,0.23972300907021843,0.9462738301559792,0.9394281639290997,0.9388577909972264,0.9390056763017982
9,0.0404192753583537,0.23334770117487227,0.9456961294049683,0.9440380523424148,0.935668260384592,0.9396919789408239
